Date,Open,High,Low,Close
6/8/23,83.100288,83.368553,82.089241,82.471703
7/8/23,82.470978,83.219833,80.512093,82.344521
8/8/23,82.34269,85.110458,81.824829,83.956894
9/8/23,83.954514,84.427437,83.2995,84.037209
10/8/23,84.038338,84.278816,82.701035,83.03347
11/8/23,83.034775,83.527885,82.719955,83.495865
12/8/23,83.494972,83.857224,83.344505,83.448524
13/8/23,83.450485,83.615974,81.651932,81.978035
14/8/23,81.979042,82.973045,81.669762,82.068581
15/8/23,82.06823,82.109108,78.763145,79.27375
16/8/23,79.27623,79.457489,73.629234,74.478859
17/8/23,74.479179,75.666794,61.756107,65.085762
18/8/23,65.094193,65.764481,63.73204,64.082916
19/8/23,64.085136,64.895279,63.734344,64.103867
20/8/23,64.107918,65.723625,64.073631,65.25251
21/8/23,65.251503,67.046448,64.978058,66.958687
22/8/23,66.958954,67.105316,63.279003,64.770287
23/8/23,64.773697,66.593552,64.16803,65.610779
24/8/23,65.612083,65.844902,64.138451,64.879272
25/8/23,64.881393,65.222832,63.843147,65.111916
26/8/23,65.112892,65.498466,64.96183,65.010719
27/8/23,65.010399,65.879028,64.905098,65.367111
28/8/23,65.367813,65.66758,64.27063,65.542503
29/8/23,65.541748,70.215546,64.709366,68.892471
30/8/23,68.893066,68.985382,66.814873,67.659531
31/8/23,67.66082,68.222328,63.616837,63.951378
1/9/23,63.946068,64.210144,62.191444,63.007454
2/9/23,63.009144,64.620071,63.009144,64.560631
3/9/23,64.563904,64.787521,63.733078,63.938118
4/9/23,63.936501,64.83728,63.254429,63.708687
5/9/23,63.713348,63.726978,62.663677,63.123634
6/9/23,63.118565,63.56403,62.059971,62.843525
7/9/23,62.843639,64.189995,62.594913,63.622368
8/9/23,63.62635,64.039047,61.982117,62.576981
9/9/23,62.578594,63.195698,62.546692,63.081509
10/9/23,63.083092,63.083092,60.512524,61.121529
11/9/23,61.119495,61.56356,58.038231,58.837158
12/9/23,58.836308,61.192917,58.693039,60.012791
13/9/23,60.017136,62.590473,59.743076,62.003521
14/9/23,62.002014,63.320518,62.002014,62.808537
15/9/23,62.816547,66.152283,62.675568,65.995529
16/9/23,65.990669,66.701874,64.532097,65.339523
17/9/23,65.346802,65.382362,63.25346,63.578228
18/9/23,63.577751,67.357925,63.222713,65.8946
19/9/23,65.893295,68.262886,65.777,67.334236
20/9/23,67.333961,67.61348,63.988403,64.564346
21/9/23,64.565125,64.967659,63.12476,64.690987
22/9/23,64.691711,65.460808,64.177536,64.335403
23/9/23,64.334908,65.225388,64.334908,65.080391
24/9/23,65.080063,65.084198,63.540279,63.587139
25/9/23,63.586189,64.990959,63.113136,64.337242
26/9/23,64.33316,64.918907,63.397556,63.758511
27/9/23,63.756336,65.419136,63.280056,63.486813
28/9/23,63.487186,65.410072,63.218338,65.238808
29/9/23,65.240662,66.399559,64.974792,65.632095
30/9/23,65.630783,66.523338,65.420502,66.069649
1/10/23,66.06881,68.591217,65.90535,68.233315
2/10/23,68.228951,68.33139,65.448631,66.011124
3/10/23,66.007019,66.836845,65.368187,65.493515
4/10/23,65.49839,65.509216,63.725567,64.452065
5/10/23,64.459198,65.196564,64.096916,64.858765
6/10/23,64.857376,65.906784,64.566528,65.533188
7/10/23,65.5336,66.229881,65.100388,65.485641
8/10/23,65.487183,65.968346,65.103546,65.364548
9/10/23,65.364395,65.376381,62.14703,63.111057
10/10/23,63.109085,63.793541,62.681705,63.621071
11/10/23,63.619778,63.685921,61.262772,61.499821
12/10/23,61.501141,61.521873,60.754681,61.127815
13/10/23,61.127197,61.995136,61.112534,61.574059
14/10/23,61.574585,61.949982,61.470036,61.665157
15/10/23,61.664009,62.101719,61.447323,61.656433
16/10/23,61.657101,65.364571,61.646015,63.337162
17/10/23,63.335766,63.335766,61.688175,62.16301
18/10/23,62.156055,62.601551,60.191654,60.276974
19/10/23,60.278484,61.812965,60.10833,61.786652
20/10/23,61.788864,64.175446,61.65102,63.41782
21/10/23,63.418297,65.255669,63.418297,64.735542
22/10/23,64.737358,66.057327,63.820606,65.190582
23/10/23,65.37159,69.535011,65.245911,68.991096
24/10/23,68.991356,72.381958,67.787247,69.03186
25/10/23,69.049782,70.322868,67.986588,68.694923
26/10/23,68.697502,70.428925,67.449448,68.854385
27/10/23,68.848656,68.848656,66.057655,67.055794
28/10/23,67.052139,68.294487,67.018555,67.782776
29/10/23,67.778076,69.22142,67.267944,68.800842
30/10/23,68.800125,69.70359,67.849525,69.250839
31/10/23,69.24955,70.356743,68.316826,68.949562
1/11/23,68.949478,70.345139,66.798882,69.93502
2/11/23,69.938553,70.679962,68.058701,69.394196
3/11/23,69.389854,69.565971,67.951309,69.491142
4/11/23,69.490921,70.625267,68.967598,70.472099
5/11/23,70.450546,72.216225,70.104073,71.662651
6/11/23,71.66227,74.926018,71.091972,74.482864
7/11/23,74.485069,74.510315,71.379761,73.564384
8/11/23,73.560333,74.262314,72.614494,73.179939
9/11/23,73.179779,76.103615,70.337265,73.752213
10/11/23,73.755669,74.940819,71.399673,73.305
11/11/23,73.300339,75.864899,71.412216,75.174309
12/11/23,75.171997,76.638184,72.854874,74.891273
13/11/23,74.897934,75.930305,71.19603,71.491547
14/11/23,71.441101,72.502419,68.790596,70.635262
15/11/23,70.635925,74.251389,70.62352,74.080322
16/11/23,74.080063,74.301231,70.071388,71.179054
17/11/23,71.149132,71.62706,68.408035,70.182335
18/11/23,70.19162,70.276321,67.996239,69.893806
